motor1,motor2,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6
150,150,255,255,255,255,255,255
150,150,255,255,49,255,255,255
150,150,255,255,255,255,255,255
150,150,255,255,255,255,255,255
150,150,255,255,255,39,255,255
150,150,255,255,255,255,255,255
150,150,255,255,48,255,255,255
150,150,255,255,7,9,255,255
150,150,255,255,255,255,255,255
150,150,255,255,42,255,255,255
150,150,255,255,255,255,255,255
150,150,255,255,255,255,255,255
150,150,255,34,27,12,255,255
150,150,22,255,255,11,255,255
150,150150,150150,150,17,24,32,255,255,255
150,150,28,255,255,21,255,255
150,150,10,14,255,27,255,255
150,150,20,26,27,255,255,255
150,150,255,255,14,17,16,255
150,150,16,255,14,18,18,12
