motor1,motor2,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6
150,150,14,14,29,50,255,255
150,150,16,14,26,255,255,255
150,150,29,255,44,255,3,255
150,150,16,17,29,49,1,255
150,150,18,18,29,47,255,70
150,150,25,16,28,43,255,255
150,150,17,19,27,255,52,255
150,150,17,17,25,41,255,20
150,150,11,12,19,32,255,255
150,-150,11,14,21,34,255,255
150,-150,14,14,24,38,255,255
150,-150,11,10,17,29,255,255
150,-150,18,13,20,33,255,255
150,150,12,12,17,28,255,255
150,150,11,10,19,31,18,16
150,150,11,11,19,30,255,255
-150,150,11,10,16,25,18,255
150,150,11,10,18,29,15,16
150,150,11,11,19,31,255,4
150,150,12,255,27,42,255,255
150,150,11,10,17,28,255,17
150,150,11,10,17,29,255,255
150,150,12,10,16,26,255,255
150,-150,11,10,15,24,255,255
150,150,13,14,16,26,255,22
150,150,11,10,18,29,255,255
