sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,motor1,motor2
255,255,15,18,255,255,150,150
255,255,16,17,255,255,150,150
255,255,17,19,255,255,150,150
255,255,19,21,255,255,150,150
255,255,18,21,255,255,150,150
255,255,19,22,255,255,150,150
255,255,20,22,255,255,150,150
255,255,17,20,255,43,150,150
255,255,18,18,255,24,150,150
255,49,17,16,255,255,150,150
255,255,13,12,255,255,150,150
255,255,7,7,255,255,150,-150
255,21,10,6,255,32,150,-150
255,255,13,9,255,255,150,-150
255,255,12,9,255,255,150,-150
255,255,14,11,30,255,150,-150
255,255,16,15,22,255,150,-150
255,255,12,13,22,26,150,-150
255,255,13,13,21,19,150,150
255,255,13,13,22,21,-150,150
255,23,12,13,20,23,150,150
255,255,12,13,17,22,150,-150
255,255,12,12,19,17,150,150
255,255,11,12,20,18,-150,150
255,18,12,13,16,21,150,150
255,255,13,14,13,18,150,-150
255,255,11,12,16,15,150,150
255,255,11,12,17,16,-150,150
255,255,12,15,12,18,150,150
255,255,12,15,9,16,150,-150
255,255,11,12,12,11,150,150
255,255,11,12,12,11,150,150
28,255,11,12,13,12,150,150
255,255,12,12,14,12,150,150
255,255,11,12,14,13,150,150
255,255,11,12,15,13,150,150
255,255,12,12,15,14,150,150
255,255,12,12,15,15,150,150
255,255,12,12,15,15,150,150
255,255,12,12,15,15,150,150
20,27,11,12,16,15,150,150
255,255,12,12,15,15,150,150
255,255,12,13,15,15,150,150
255,255,12,13,15,15,150,150
255,72,12,12,15,15,150,150
