x,y,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,motor1,motor2
0,0,0.007,0.0038,0.0095,0.005,0.004,0.0029,0.0007,0.0016
0,1,0.0083,0.0019,0.0028,0.008,0.0024,0.0003,0.0017,0.0049
0,2,0.009,0.0085,0.0088,0.0013,0.0089,0.0013,0.0054,0.0017
0,3,0.0074,0.0077,0.0052,0.0012,0.0071,0.0037,0.0052,0.004
0,4,0.00752462,0.00482468,0.00881325,0.00140705,0.00752391,0.00952457,0.00312473,0.00587505
0,5,0.0025278,0.0068238,0.00435811,0.00413009,0.0070141,0.00652408,0.0096212,0.00426588
0,6,0.0069895,0.0102799,0.00772268,0.00392475,0.0113449,0.00479589,0.00748805,0.00308119
0,7,0.015841,0.0160397,0.0101924,0.00878083,0.0098106,0.00858849,0.00709824,-0.00560799
0,8,0.0188332,0.021402,0.00835721,0.00872494,0.0205378,0.0173424,0.0122137,-0.0116209
0,9,0.0222966,0.0250377,0.0151408,0.015123,0.0294765,0.0237211,0.0234714,-0.0173038
0,10,0.0340419,0.0422533,0.0247693,0.0212866,0.0323104,0.0348047,0.0385823,-0.0339453
0,11,0.0571815,0.0578421,0.0398563,0.0285247,0.0500048,0.0566595,0.0610509,-0.0555771
0,12,0.0856876,0.0866078,0.0541358,0.0415544,0.0656914,0.0736994,0.0850436,-0.0761185
0,13,0.114059,0.105742,0.0677077,0.0576351,0.0842869,0.09294,0.108335,-0.103238
0,14,0.136026,0.142002,0.0873319,0.0671743,0.100833,0.115934,0.136372,-0.132475
0,15,0.170953,0.17204,0.114038,0.0840733,0.121778,0.130766,0.166357,-0.156412
0,16,0.211711,0.211234,0.151312,0.11247,0.134448,0.151205,0.209088,-0.16286
0,17,0.267172,0.269377,0.201957,0.164542,0.148046,0.169825,0.271141,-0.135729
0,18,0.347177,0.345081,0.282004,0.23404,0.16906,0.189809,0.348618,-0.0647351
0,19,0.47017,0.466754,0.398076,0.347766,0.18872,0.210508,0.469316,0.0896775
0,20,0.597559,0.596709,0.523133,0.468561,0.211407,0.22563,0.595414,0.283125
0,21,0.754664,0.754713,0.68125,0.609329,0.237228,0.244986,0.755179,0.547927
0,22,0.905313,0.905769,0.8279,0.738571,0.263667,0.263741,0.905332,0.814588
0,23,0.985733,0.985599,0.90267,0.799393,0.278243,0.270404,0.985611,0.967578
0,24,0.999757,0.999755,0.899017,0.802237,0.28278,0.264459,0.999756,0.998984
0,25,1,1,0.885714,0.8,0.285714,0.257143,1,1
0,26,1,1,0.849849,0.808807,0.284867,0.262751,1,0.999974
0,27,1,1,0.8,0.800001,0.285714,0.257143,1,1
0,28,1,1,0.721649,0.932015,0.294747,0.30369,1,0.999997
0,29,1,1,0.671356,1,0.299928,0.328355,1,1
1,0,0.0022,0.0085,0.0015,0.0003,0.0082,0.0027,0.0076,0.0077
1,1,0.0018,0.0058,0.0052,0.0045,0.0049,0.0061,0.0043,0.0052
1,2,0.0084,0.0077,0.0017,0.0025,0.0042,0.0056,0.0094,0.009
1,3,0.008,0.0049,0.0061,0.0023,0.0074,0.0087,0.0066,0.0096
1,4,0.00714165,0.00804162,0.00982236,0.00541176,0.000840719,0.00734164,0.00304183,0.00235795
1,5,0.00461536,0.00960826,0.00759578,0.00849857,0.00559944,0.00251835,0.00451551,0.00127626
1,6,0.0129571,0.00897464,0.00716068,0.00455269,0.00464552,0.00887508,0.00628651,0.00366954
1,7,0.0192594,0.0178732,0.00520258,0.0102543,0.016382,0.016586,0.0160909,-0.00599142
1,8,0.0232623,0.024342,0.0184749,0.0121202,0.0213714,0.0207947,0.0262069,-0.0120727
1,9,0.033098,0.0372578,0.0213093,0.0167312,0.0367327,0.0398059,0.039773,-0.0282611
1,10,0.0552005,0.0554845,0.0354581,0.0222675,0.0565892,0.0615721,0.0535911,-0.047343
1,11,0.094778,0.088669,0.0548043,0.041392,0.0808252,0.0883546,0.0954162,-0.0862984
1,12,0.131327,0.132724,0.0831546,0.0644759,0.111089,0.115862,0.131152,-0.117963
1,13,0.168863,0.176678,0.1071,0.0819763,0.140561,0.14775,0.16903,-0.161048
1,14,0.216637,0.219547,0.134875,0.100831,0.17082,0.181947,0.219232,-0.210029
1,15,0.260766,0.259655,0.17449,0.133463,0.198141,0.215904,0.2601,-0.248545
1,16,0.315335,0.318838,0.218234,0.166746,0.214036,0.242583,0.314922,-0.265593
1,17,0.387582,0.38647,0.281958,0.226016,0.232122,0.25601,0.385419,-0.242706
1,18,0.472232,0.471274,0.371289,0.305207,0.242449,0.269384,0.46776,-0.167513
1,19,0.58799,0.590714,0.494925,0.423828,0.252066,0.279271,0.589971,0.0119792
1,20,0.707599,0.705299,0.617632,0.542497,0.256467,0.281348,0.707068,0.240197
1,21,0.839181,0.840146,0.762148,0.674379,0.267096,0.280276,0.839503,0.546948
1,22,0.950618,0.950583,0.883528,0.773967,0.275246,0.279644,0.950534,0.836858
1,23,0.995451,0.995473,0.937674,0.804853,0.27713,0.278747,0.995464,0.976736
1,24,0.999963,0.999963,0.943009,0.798127,0.274901,0.280621,0.999963,0.998919
1,25,1,1,0.937122,0.794912,0.273886,0.282482,1,0.999926
1,26,1,1,0.894467,0.821385,0.279677,0.278279,1,0.999936
1,27,1,1,0.840848,0.853114,0.285801,0.276376,1,0.999979
1,28,1,1,0.772594,0.922307,0.291959,0.296491,1,0.99998
1,29,1,1,0.703971,0.984611,0.297596,0.31789,1,0.999992
2,0,0.0017,0.007,0.0097,0.009,0.0009,0.0063,0.0064,0.0097
2,1,0.0039,0.0086,0.0036,0.0095,0.0041,0.001,0.0036,0.0033
2,2,0.0044,0.006,0.0004,0.0004,0.0063,0.0056,0.006,0.0094
2,3,0.0094,0.0087,0.0069,0.0046,0.0052,0.0061,0.008,0.0069
2,4,0.00306753,0.00776721,0.00593637,0.00401908,0.00396553,0.00246757,0.00366749,0.00773174
2,5,0.00329307,0.00908092,0.00822654,0.00584196,0.00995764,0.0029937,0.010478,0.000299382
2,6,0.013212,0.0150004,0.00578988,0.00548036,0.0107571,0.0150004,0.00913844,-0.00258105
2,7,0.0219274,0.0238983,0.0154163,0.0077578,0.0198017,0.0209419,0.0238983,-0.00615994
2,8,0.0316742,0.0330354,0.0163626,0.01786,0.0346415,0.0335009,0.0334243,-0.0189369
2,9,0.0525038,0.0525038,0.0298694,0.0194378,0.0511536,0.0519382,0.0526938,-0.0490825
2,10,0.0835209,0.0878331,0.0473803,0.0362577,0.0818019,0.0877476,0.0909526,-0.0809519
2,11,0.141824,0.143464,0.0825435,0.0584533,0.121614,0.129123,0.136818,-0.129912
2,12,0.205546,0.200254,0.121699,0.0918023,0.17319,0.179583,0.20298,-0.197127
2,13,0.269053,0.265601,0.159843,0.123439,0.221672,0.23993,0.272285,-0.262736
2,14,0.334794,0.33606,0.209203,0.154762,0.275544,0.296516,0.338723,-0.330665
2,15,0.402141,0.399616,0.25483,0.193873,0.310262,0.339588,0.403464,-0.388979
2,16,0.468277,0.465595,0.309368,0.238238,0.332781,0.369164,0.468116,-0.419534
2,17,0.538743,0.535676,0.386432,0.297544,0.340453,0.383752,0.536977,-0.399552
2,18,0.616438,0.616822,0.474058,0.381238,0.33407,0.383466,0.618166,-0.323357
2,19,0.71668,0.717134,0.590787,0.499111,0.325419,0.368867,0.716538,-0.135919
2,20,0.807376,0.806192,0.701134,0.605201,0.30689,0.343562,0.806677,0.113742
2,21,0.899917,0.899837,0.818304,0.71394,0.290837,0.314795,0.900259,0.458977
2,22,0.971664,0.971599,0.913968,0.790514,0.28154,0.292367,0.971587,0.794753
2,23,0.99797,0.997977,0.962676,0.807827,0.275706,0.284127,0.997965,0.96753
2,24,0.999995,0.999995,0.985811,0.794622,0.26883,0.292184,0.999995,0.998827
2,25,1,1,1,0.771432,0.257144,0.314284,1,1
2,26,1,1,0.943465,0.829537,0.275111,0.290054,1,0.999928
2,27,1,1,0.885714,0.885714,0.285714,0.285714,1,1
2,28,1,1,0.865292,0.918277,0.287465,0.28045,1,0.999952
2,29,1,1,0.850889,0.96612,0.28902,0.273759,1,0.999963
3,0,0.003,0.0044,0.0092,0.006,0.0051,0.0056,0.0027,0.0025
3,1,0.0098,0.0019,0.0008,0.0028,0.002,0.0081,0.0061,0.0082
3,2,0.0086,0.0094,0.0045,0.0066,0.0093,0.0054,0.0059,0.003
3,3,0.002,0.0089,0.0001,0.0022,0.0095,0.0041,0.0066,0.0026
3,4,0.00840274,0.00610298,0.00845537,0.00352924,0.00160048,0.00130348,0.00610298,0.00139624
3,5,0.00615935,0.00974867,0.00576358,0.0062507,0.00772425,0.00346737,0.00635876,0.000421052
3,6,0.00913761,0.0167673,0.00463902,0.0125714,0.0122089,0.0148846,0.0114166,-0.00398513
3,7,0.0255338,0.0230857,0.0173752,0.0116212,0.0266839,0.0246525,0.0274924,-0.0161329
3,8,0.0496952,0.0453766,0.0282947,0.0160043,0.0456069,0.0441948,0.0430732,-0.0309809
3,9,0.0743443,0.0802733,0.0427884,0.032585,0.0778118,0.0809828,0.0820334,-0.0665626
3,10,0.130014,0.132727,0.0720258,0.0547138,0.122764,0.131857,0.128351,-0.116361
3,11,0.209203,0.209203,0.120613,0.0910887,0.188141,0.195111,0.209995,-0.203897
3,12,0.308733,0.304768,0.178947,0.129771,0.267436,0.286508,0.306159,-0.300734
3,13,0.411555,0.411792,0.23545,0.175512,0.354118,0.372391,0.40877,-0.406933
3,14,0.509597,0.509399,0.295565,0.220669,0.430687,0.456866,0.506874,-0.50049
3,15,0.587661,0.588615,0.356386,0.263755,0.479278,0.515873,0.587601,-0.576959
3,16,0.654584,0.652177,0.418502,0.314925,0.492345,0.541101,0.654195,-0.611267
3,17,0.714445,0.712633,0.491324,0.377608,0.478124,0.536487,0.713021,-0.600932
3,18,0.775225,0.774909,0.579376,0.458238,0.444672,0.509552,0.774194,-0.533819
3,19,0.843022,0.843559,0.681189,0.562282,0.397328,0.463528,0.843203,-0.355901
3,20,0.895328,0.895748,0.77051,0.652745,0.348869,0.40677,0.895182,-0.112426
3,21,0.945184,0.945459,0.856295,0.738952,0.310647,0.35145,0.94501,0.248218
3,22,0.98288,0.982964,0.926076,0.799683,0.287655,0.307232,0.982807,0.646375
3,23,0.998316,0.998307,0.96817,0.816456,0.278189,0.285567,0.998301,0.913666
