x,y,motor1,motor2,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6
0,0,0.0436283,-0.0356304,0.00613199,0.00867374,0.0103868,0.00804409,0.0723686,0.0687695
0,1,0.10845,-0.105952,0.0125896,0.0177114,0.0168013,0.0204897,0.183266,0.187463
0,2,0.167513,-0.162119,0.0211625,0.0162425,0.0216575,0.0339144,0.282226,0.285023
0,3,0.254199,-0.245214,0.0219872,0.0236576,0.0360968,0.0474043,0.423812,0.420418
0,4,0.357665,-0.345594,0.0347218,0.036272,0.0417403,0.0731372,0.605058,0.603362
0,5,0.496678,-0.482724,0.0371469,0.0380017,0.0652318,0.0956024,0.838821,0.843007
0,6,0.652117,-0.643654,0.0519896,0.0555978,0.0839279,0.130665,1.10279,1.10717
0,7,0.820934,-0.81059,0.0612231,0.0656691,0.101993,0.164351,1.39118,1.39377
0,8,0.974789,-0.966145,0.0800252,0.0793948,0.125032,0.19018,1.6547,1.6546
0,9,1.09693,-1.08254,0.0872955,0.089988,0.138448,0.215542,1.85623,1.85206
0,10,0.532271,-0.516757,0.138804,0.13482,0.210039,0.338422,2.03706,3.01365
0,11,0.435826,0.010279,0.179352,0.183179,0.284423,0.459181,2.05534,3.8765
0,12,0.0321494,0.603412,0.216253,0.211222,0.338968,0.538746,1.97673,4.63342
0,13,-0.540473,1.44319,0.266825,0.25699,0.411649,0.656403,1.82376,5.61803
0,14,-1.28766,2.529,0.326076,0.317832,0.501671,0.807626,1.64674,6.92444
0,15,-2.1733,3.83933,0.401038,0.39295,0.621648,1.00251,1.48096,8.59206
0,16,-3.15099,5.31449,0.498026,0.477323,0.769532,1.22738,1.35223,10.5762
0,17,-4.1158,6.82637,0.599311,0.56805,0.921579,1.47383,1.26539,12.7086
0,18,-4.9482,8.18151,0.690536,0.659928,1.07045,1.70597,1.21153,14.6769
0,19,-5.49446,9.18409,0.75754,0.724129,1.17445,1.88087,1.1765,16.1275
0,20,-5.64555,9.65131,0.796267,0.759448,1.22973,1.97013,1.10388,16.7243
0,21,-5.37946,9.50921,0.777526,0.744737,1.20291,1.93112,0.995337,16.3146
0,22,-4.78205,8.8063,0.713294,0.688178,1.12137,1.78927,0.836734,14.9606
0,23,-3.9376,7.66097,0.629175,0.601189,0.98595,1.57592,0.714551,13.0126
0,24,-3.05395,6.32231,0.52125,0.499888,0.81865,1.31879,0.579066,10.739
0,25,-2.25527,4.98295,0.419386,0.399298,0.651461,1.05143,0.451725,8.47271
0,26,-1.59799,3.78683,0.315835,0.303419,0.49885,0.805347,0.333166,6.42702
0,27,-1.09442,2.7805,0.231525,0.224027,0.371815,0.602851,0.241488,4.71125
0,28,-0.728589,1.98507,0.169336,0.167519,0.268482,0.438348,0.173591,3.36891
0,29,-0.478453,1.3852,0.117245,0.115734,0.195252,0.311414,0.121353,2.3455
1,0,0.157115,-0.138333,0.0134798,0.0114561,0.0175831,0.0320145,0.257794,0.252999
1,1,0.405499,-0.394329,0.0352462,0.038504,0.0519052,0.0840345,0.690536,0.68884
1,2,0.686801,-0.681028,0.0604662,0.0595505,0.0842441,0.135735,1.16565,1.16356
1,3,1.02395,-1.01243,0.0893406,0.0840201,0.128377,0.203542,1.73614,1.73415
1,4,1.46892,-1.4603,0.126807,0.115493,0.180757,0.293223,2.49874,2.50121
1,5,2.0455,-2.03208,0.173665,0.160308,0.250105,0.409369,3.47284,3.4685
1,6,2.71224,-2.70468,0.227026,0.216968,0.334832,0.547986,4.61062,4.6115
1,7,3.42536,-3.42087,0.2895,0.273854,0.42632,0.68922,5.82108,5.82675
1,8,4.10964,-4.09651,0.349538,0.322761,0.51394,0.830302,6.97928,6.97744
1,9,4.64305,-4.63462,0.393339,0.374862,0.580799,0.946787,7.88432,7.88965
1,10,4.09813,-4.08467,0.478178,0.449282,0.707379,1.14846,8.4791,9.80539
1,11,4.0451,-3.26458,0.554466,0.523895,0.835252,1.35489,8.53481,11.1896
1,12,3.53842,-1.91215,0.622426,0.650382,0.952328,1.87422,8.17879,12.4788
1,13,2.46317,-0.137483,0.683013,0.73703,1.05178,2.18746,7.42017,13.7006
1,14,1.04445,2.21713,0.77387,0.845627,1.18629,2.60081,6.48001,15.4306
1,15,-0.633351,5.09133,0.892518,0.994688,1.38031,3.17267,5.53261,17.914
1,16,-2.45146,8.33428,1.0514,1.19328,1.63287,3.9017,4.71105,21.204
1,17,-4.24303,11.715,1.24342,1.41953,1.93158,4.73891,4.08892,25.0361
1,18,-5.73803,14.8378,1.43385,1.64501,2.23117,5.6143,3.64232,28.8246
1,19,-6.66154,17.2479,1.58772,1.83222,2.46651,6.39315,3.32867,31.7892
1,20,-6.83968,18.5585,1.66646,1.94152,2.59904,6.93767,3.02792,33.1328
1,21,-6.25493,18.5779,1.64571,1.95761,2.57548,7.15248,2.65897,32.4466
1,22,-5.1358,17.4158,1.52928,1.86724,2.40469,6.99141,2.19615,29.8247
1,23,-3.68568,15.2908,1.35455,1.69075,2.13224,6.50088,1.85095,25.9891
1,24,-2.29261,12.6751,1.14283,1.47255,1.80094,5.7648,1.56153,21.5475
1,25,-1.2077,10.0443,0.917685,1.22064,1.45733,4.87148,1.26359,17.0787
1,26,-0.472224,7.65864,0.708968,0.977906,1.13636,3.9529,0.979487,13.0159
1,27,-0.0395664,5.65111,0.532483,0.760467,0.853473,3.08624,0.736582,9.6009
1,28,0.173323,4.05856,0.392419,0.575451,0.619224,2.32584,0.53307,6.89366
1,29,0.243359,2.84905,0.278982,0.414986,0.445089,1.70647,0.384617,4.84194
2,0,0.283488,-0.273906,0.026244,0.0308289,0.0391834,0.0640862,0.483686,0.481989
2,1,0.811569,-0.801026,0.0764735,0.064758,0.10506,0.167389,1.3768,1.3774
2,2,1.4899,-1.47782,0.12995,0.119422,0.190686,0.303829,2.52337,2.51861
2,3,2.373,-2.35941,0.203147,0.192726,0.295322,0.487921,4.02405,4.01981
2,4,3.44259,-3.42715,0.292398,0.273306,0.435558,0.701076,5.8433,5.84134
2,5,4.81752,-4.81665,0.41133,0.384885,0.605348,0.986281,8.19812,8.19405
2,6,6.48323,-6.47366,0.556014,0.516544,0.813793,1.32514,11.0148,11.0119
2,7,8.35073,-8.22726,0.707076,0.661014,1.05177,1.71182,14.1828,14.1857
2,8,10.1793,-9.92623,0.867424,0.811483,1.28397,2.08716,17.3003,17.3011
2,9,11.6119,-11.2772,0.990958,0.9401,1.48095,2.41736,19.8325,19.9147
2,10,11.4735,-10.9518,1.16005,1.09539,1.72811,2.86875,21.5399,23.4062
2,11,11.6715,-9.80076,1.2895,1.29288,1.95198,3.35854,21.9621,25.8347
2,12,11.119,-7.26526,1.4412,1.90668,2.18579,4.61959,21.2701,28.0439
2,13,9.30241,-3.88117,1.52848,2.21832,2.339,5.31603,19.5336,29.6117
2,14,6.77032,0.71068,1.66097,2.6404,2.54669,6.26007,17.2294,31.9072
2,15,3.68737,6.37179,1.86551,3.20717,2.86586,7.54052,14.7721,35.5573
2,16,0.285366,12.8373,2.1459,3.91272,3.31756,9.18812,12.521,40.8268
2,17,-3.12605,19.6303,2.50121,4.7354,3.86274,11.112,10.6519,47.3986
2,18,-6.06504,25.9895,2.86703,5.58202,4.44448,13.1288,9.21844,54.2018
