x,y,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,motor1,motor2
0,0,0.999998,0.999998,0.456278,0.287104,0.999952,0.818049,0.999998,-0.999998
0,1,1,1,0.485714,0.285714,1,0.714286,1,-1
0,2,0.999994,0.999994,0.483489,0.297221,0.991028,0.751256,0.999994,-0.999994
0,3,0.999955,0.999955,0.583654,0.394091,0.898588,0.664978,0.999955,-0.999954
0,4,0.999967,0.999967,0.776854,0.574463,0.699476,0.449262,0.999967,-0.999966
0,5,0.999996,0.999996,0.931569,0.740771,0.485011,0.266866,0.999996,-0.999996
0,6,1,1,0.991444,0.822587,0.353928,0.18873,0.999996,-0.999996
0,7,1,1,0.999756,0.899639,0.288656,0.173191,0.999993,-0.999993
0,8,1,1,1,1,0.242929,0.171429,1,-1
0,9,1,1,1,1,0.314286,0.171429,1,-1
0,10,0.999878,0.999879,0.999552,0.980395,0.302201,0.173683,0.996469,-0.996465
0,11,0.9861,0.986037,0.985148,0.929409,0.312531,0.179919,0.931924,-0.931513
0,12,0.889664,0.88972,0.888384,0.826594,0.284697,0.16986,0.714794,-0.712238
0,13,0.686579,0.686328,0.686924,0.648951,0.204123,0.134827,0.3935,-0.387869
0,14,0.387525,0.387586,0.384756,0.388263,0.101424,0.0867502,0.0190231,-0.0142852
0,15,0.181282,0.183493,0.182019,0.188896,0.0507121,0.0500068,-0.172974,0.18329
0,16,0.143484,0.14168,0.143914,0.145976,0.0362758,0.0444379,-0.140219,0.141852
0,17,0.111052,0.104859,0.104769,0.105308,0.0333182,0.0331846,-0.0966921,0.104949
1,0,1,1,0.415585,0.286411,0.999996,0.969181,1,-1
1,1,1,1,0.439473,0.287542,0.999713,0.879899,1,-1
1,2,1,1,0.466685,0.303519,0.990527,0.825353,1,-1
1,3,0.999999,0.999999,0.580898,0.382553,0.92644,0.684305,0.999999,-0.999999
1,4,0.999999,0.999999,0.769445,0.529053,0.773401,0.463886,0.999999,-0.999999
1,5,1,1,0.926464,0.681463,0.563699,0.282446,1,-1
1,6,1,1,0.993088,0.749445,0.400935,0.192488,1,-1
1,7,1,1,1,0.714286,0.342857,0.171429,1,-1
1,8,1,1,0.999835,0.89437,0.305429,0.175316,0.99997,-0.99997
1,9,1,1,0.999693,0.961501,0.301523,0.174599,0.999408,-0.999408
1,10,0.999815,0.999815,0.998708,0.94683,0.318841,0.179662,0.984716,-0.984696
1,11,0.989494,0.989559,0.988149,0.91183,0.33354,0.188555,0.871288,-0.870386
1,12,0.920697,0.920992,0.919556,0.850674,0.303736,0.184709,0.582781,-0.578013
1,13,0.770813,0.769494,0.769308,0.73002,0.227141,0.160434,0.216217,-0.206252
1,14,0.520667,0.522011,0.523979,0.524075,0.137478,0.118749,-0.158857,0.168435
1,15,0.33624,0.331547,0.333894,0.332017,0.0869518,0.0860039,-0.323458,0.332843
1,16,0.260456,0.259934,0.25613,0.258368,0.0656997,0.0685515,-0.248448,0.254191
1,17,0.189029,0.18298,0.183307,0.189765,0.051194,0.0484184,-0.177258,0.188048
2,0,1,1,0.40962,0.285714,1,1,1,-1
2,1,1,1,0.406202,0.288459,0.999923,0.987669,1,-1
2,2,1,1,0.455911,0.311199,0.993736,0.873073,1,-1
2,3,1,1,0.5997,0.374457,0.961144,0.652453,1,-1
2,4,1,1,0.760303,0.468068,0.885934,0.467414,1,-1
2,5,1,1,0.901122,0.59107,0.73502,0.33149,1,-1
2,6,1,1,0.98419,0.706535,0.529585,0.228052,1,-1
2,7,1,1,1,0.742857,0.485714,0.2,1,-1
2,8,1,1,0.998194,0.777241,0.435312,0.198377,0.999499,-0.999499
2,9,0.999996,0.999996,0.996812,0.852039,0.392518,0.196677,0.990688,-0.990687
2,10,0.999436,0.999438,0.99574,0.876081,0.382324,0.199455,0.927002,-0.926855
2,11,0.98946,0.989516,0.987217,0.882388,0.366564,0.205496,0.694634,-0.692694
