x,y,motor1,motor2,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6
0,0,2.13916,2.13414,0.160742,0.15147,0.268882,0.430472,0.234386,0.229872
0,1,4.78922,4.78893,0.355286,0.323031,0.594504,0.957223,0.529355,0.518302
0,2,8.8749,8.88384,0.65561,0.595881,1.09787,1.77584,0.978649,0.954633
0,3,15.3325,15.328,1.12649,1.0227,1.89606,3.06677,1.68769,1.64228
0,4,25.7553,25.7582,1.89684,1.72516,3.18318,5.22094,3.06724,2.99967
0,5,44.4207,44.4187,3.30857,3.04221,5.49952,8.99414,10.4199,5.35508
0,6,70.3452,70.3444,5.28568,4.87226,8.74282,14.2664,21.1804,8.77786
0,7,97.9469,97.9482,7.36324,6.78173,12.1691,19.8101,29.0697,12.1203
0,8,122.146,122.146,9.16618,8.44364,15.143,24.6057,35.6493,14.7018
0,9,137.045,137.045,10.2923,9.49657,16.9542,27.5235,42.5,16.0653
0,10,142.991,142.991,10.8271,10.0568,17.6901,28.7184,56.7323,16.7279
0,11,144.551,144.551,11.2038,10.5833,17.9412,29.1618,91.4515,17.4271
0,12,145.855,145.855,11.7376,11.3907,18.1451,29.5562,151.467,18.2144
0,13,148.178,148.178,12.2949,12.2262,18.2927,29.851,211.615,18.4365
0,14,149.637,149.637,12.5519,12.6259,18.1734,29.6864,242.991,18.3683
0,15,149.934,149.934,12.6511,12.7251,18.1568,29.6786,251.537,18.6472
0,16,149.923,149.923,12.8664,12.8291,18.7452,30.665,253.032,19.26
0,17,149.476,149.476,13.1313,13.0014,19.4366,31.8067,252.371,21.3945
0,18,146.353,146.353,13.1267,12.9561,19.649,32.1484,246.442,26.3585
0,19,135.87,135.87,12.3423,12.1502,18.6197,30.4645,227.769,33.2904
0,20,116.366,116.365,10.6158,10.4149,16.0852,26.3339,194.201,38.532
0,21,91.6223,91.6243,8.35527,8.16648,12.6775,20.7841,153.587,39.4495
0,22,67.8686,67.8705,6.16177,6.00018,9.35118,15.3538,114.059,36.0957
0,23,48.151,48.1507,4.34994,4.21133,6.59217,10.8449,81.2567,30.3016
0,24,33.1853,33.1868,2.98199,2.87715,4.51782,7.43714,56.2241,23.7969
0,25,22.2573,22.2615,1.98763,1.91227,3.01166,4.91595,37.8361,17.5319
0,26,12.473,12.4732,1.11073,1.05384,1.6829,2.75837,21.2019,12.0207
0,27,4.87349,4.87195,0.42559,0.400978,0.638867,1.04441,8.27221,7.22105
0,28,2.3478,2.35292,0.196927,0.174449,0.291974,0.474396,3.98827,3.99536
0,29,1.12747,1.12955,0.0883958,0.0892858,0.131403,0.223406,1.91765,1.92152
1,0,2.40005,2.40143,0.179678,0.164596,0.300301,0.482039,0.267737,0.258433
1,1,5.45803,5.45543,0.400851,0.365006,0.671837,1.08938,0.597789,0.583932
1,2,10.2264,10.3292,0.76007,0.690787,1.27957,2.06364,1.13224,1.18471
1,3,17.9501,18.0804,1.33421,1.21158,2.22733,3.61087,1.98595,2.04014
1,4,30.8358,30.9961,2.27675,2.07462,3.82441,6.34401,3.96185,3.99265
1,5,53.6084,53.7819,4.00213,3.736,6.66009,10.953,12.5453,7.11438
1,6,84.5077,84.6585,6.34426,5.8961,10.5214,17.2158,23.8865,11.2257
1,7,115.494,115.589,8.64573,7.98209,14.3435,23.3692,30.0641,14.5937
1,8,138.162,138.193,10.2907,9.45422,17.09,27.7576,31.823,16.2192
1,9,147.562,147.57,10.9535,10.0429,18.1842,29.4875,31.6521,16.4227
1,10,149.374,149.376,11.1224,10.226,18.3881,29.8107,37.7573,16.4268
1,11,149.274,149.276,11.3508,10.5981,18.4569,29.9615,68.7185,16.9633
1,12,149.153,149.155,11.8644,11.439,18.5743,30.2314,138.598,17.9142
1,13,149.7,149.7,12.3826,12.3052,18.5907,30.3292,211.991,17.924
